County,State,ST,Fips,Precincts,Votes,Democrats 08,Democrats 12,Republicans 08,Republicans 12,Republicans Perc 16,Democrats Perc 16,Republicans Perc 12,Democrats Perc 12,Votes Trump,Votes Clinton
"Orange County, Texas",Texas,TX,48361,35,31761,7646,6800,21509,23366,79.92506533,17.99691445,76.56465037,22.28193197,25385,5716
"Jackson County, Colorado",Colorado,CO,8057,5,862,277,216,624,600,72.85382831,19.83758701,70.75471698,25.47169811,628,171
"Morgan County, Utah",Utah,UT,49029,15,5136,689,403,3311,4114,61.44859813,11.13707165,89.49314771,8.766586905,3156,572
"Anne Arundel County, Maryland",Maryland,MD,24003,195,242939,125015,126635,129682,126832,47.13487748,47.77907211,48.75247449,48.6767504,114509,116074
"Johnson County, Tennessee",Tennessee,TN,47091,10,6556,1837,1483,4621,4611,82.36729713,15.07016473,74.44300936,23.94252502,5400,988
"Dodge County, Nebraska",Nebraska,NE,31053,35,14959,6689,5673,8557,8995,65.08456448,29.75466274,60.16722408,37.94648829,9736,4451
"Sutter County, California",California,CA,6101,51,30429,13412,12192,18911,18122,55.14476322,38.88067304,58.40907626,39.29607426,16780,11831
"Oklahoma County, Oklahoma",Oklahoma,OK,40109,257,273609,116182,106982,163172,149728,51.69018563,41.17591161,58.32573721,41.67426279,141429,112661
"Hancock County, Tennessee",Tennessee,TN,47067,7,2229,604,475,1588,1527,82.63795424,14.44593988,74.63343109,23.21603128,1842,322
"Price County, Wisconsin",Wisconsin,WI,55099,23,7560,4559,3887,3461,3884,60.34391534,35.33068783,49.15833439,49.19630427,4562,2671
"Carteret County, North Carolina",North Carolina,NC,37031,28,36919,11130,10301,23131,24775,71.04201089,26.56084943,69.75532843,29.00301264,26228,9806
"Hunterdon County, New Jersey",New Jersey,NJ,34019,116,70582,29776,26876,39092,38687,54.63857641,40.79935394,58.0676633,40.33981748,38565,28797
"Pickens County, South Carolina",South Carolina,SC,45077,61,48871,11691,11156,32552,33474,73.85975323,21.13114117,73.4900876,24.49230499,36096,10327
"Rutherford County, Tennessee",Tennessee,TN,47149,49,106518,40460,36414,59892,60846,60.48555174,34.38573762,61.55511492,36.83837812,64428,36627
"Graves County, Kentucky",Kentucky,KY,21083,30,16592,5843,4547,10056,10699,76.36812922,19.93731919,69.0124492,29.32980713,12671,3308
"Wyandotte County, Kansas",Kansas,KS,20209,113,47467,39865,34302,16506,15496,32.6963996,61.82400404,30.54121172,67.60613347,15520,29346
"Iowa County, Wisconsin",Wisconsin,WI,55049,29,12123,7987,8105,3829,4287,39.66839891,55.01113586,34.20296793,64.66411361,4809,6669
"Putnam County, New York",New York,NY,36079,86,44186,21613,19512,25145,24083,57.12442855,39.29525189,54.30826474,44.00045101,25241,17363
"Madison County, Iowa",Iowa,IA,19121,10,8523,3733,3630,4579,4638,62.60706324,31.2800657,54.83565855,42.91794751,5336,2666
"Tazewell County, Illinois",Illinois,IL,17179,135,63347,29384,24438,33247,35335,60.96579159,32.46878305,57.88068405,40.03079544,38620,20568
"Polk County, Arkansas",Arkansas,AR,5113,17,8215,1957,1556,5473,5955,80.41387705,14.72915399,77.07740098,20.13978773,6606,1210
"Kern County, California",California,CA,6029,642,217725,93457,89495,134793,126618,54.73142726,39.72028936,57.17110967,40.40917136,119164,86481
"Bullock County, Alabama",Alabama,AL,1011,17,4701,4011,4061,1391,1251,24.22888747,75.0904063,23.50620068,76.30590004,1139,3530
"Shasta County, California",California,CA,6089,121,72554,28867,25819,49588,48067,65.58838934,28.21484687,62.96849414,33.82327897,47587,20471
"Grant County, Nebraska",Nebraska,NE,31075,1,394,41,30,318,322,93.14720812,5.076142132,88.70523416,8.26446281,367,20
"Meeker County, Minnesota",Minnesota,MN,27093,30,12198,5380,4969,6737,6913,66.42892277,26.1682243,56.59898477,40.68282299,8103,3192
"Franklin County, Florida",Florida,FL,12037,8,6003,2134,1845,3818,3570,68.61569215,28.95219057,65.2173913,33.70478626,4119,1738
"St. Lucie County, Florida",Florida,FL,12111,64,140731,67125,65869,52512,56202,49.91650738,47.47496998,45.68265503,53.54027978,70248,66812
"Glynn County, Georgia",Georgia,GA,13127,20,34041,12676,11950,20479,20893,63.10625422,34.48194824,63.05797845,36.06676124,21482,11738
"Butte County, Idaho",Idaho,ID,16023,4,1230,318,258,1056,1001,74.30894309,13.00813008,77.83825816,20.0622084,914,160
"Cass County, Indiana",Indiana,IN,18017,40,14135,7011,5371,8346,8443,68.60275911,26.58648744,59.62149566,37.92811242,9697,3758
"Hutchinson County, South Dakota",South Dakota,SD,46067,7,3365,1242,923,2285,2451,74.79940565,20.56463596,71.5620438,26.94890511,2517,692
"Lane County, Oregon",Oregon,OR,41039,80,181072,114037,102652,63835,62509,36.56998321,55.50112662,36.37416351,59.73348851,66218,100497
"Livingston County, Illinois",Illinois,IL,17105,46,15096,6189,5020,9191,9753,67.54769475,26.53020668,64.8513864,33.37987898,10197,4005
"Coke County, Texas",Texas,TX,48081,5,1423,299,179,1252,1218,88.89669712,9.838369642,86.50568182,12.71306818,1265,140
"Dukes County, Massachusetts",Massachusetts,MA,25007,7,11434,7913,7978,2442,2792,21.63722232,72.92286164,25.45587163,72.73887673,2474,8338
"Okanogan County, Washington",Washington,WA,53047,11,10893,7613,7108,8798,9221,57.88120812,36.53722574,54.73702956,42.19399264,6305,3980
"Pitkin County, Colorado",Colorado,CO,8097,10,10387,7349,6849,2484,3024,24.28035044,69.69288534,30.01488834,67.98014888,2522,7239
"Barrow County, Georgia",Georgia,GA,13013,16,28828,6657,6028,17625,18725,73.21007354,22.82503122,74.30850431,23.92158419,21105,6580
"Warren County, Indiana",Indiana,IN,18171,13,3919,1755,1324,2166,2377,73.89640214,21.40852258,62.55263158,34.84210526,2896,839
"Cherokee County, Kansas",Kansas,KS,20021,38,8386,3594,2930,5886,5456,71.75053661,23.36036251,63.65651616,34.18504259,6017,1959
"Laramie County, Wyoming",Wyoming,WY,56021,61,39945,16072,14295,24549,23904,62.19551884,28.96983352,60.50879635,36.185293,24844,11572
